ID,Dataset Name,Category,Provider,Description,Granularity,Format,Access Method,Update Frequency,URL,Relevance to Wait Time App,Key Fields,Joinable Via
1,Appointments in General Practice,Wait Times,NHS England Digital,"Monthly GP appointment statistics: status, mode, HCP type, time from booking to appointment, consultation duration, appointment category",Practice-level,CSV,Open download — no auth,Monthly,https://digital.nhs.uk/data-and-information/publications/statistical/appointments-in-general-practice,CRITICAL — primary source of appointment volume and wait time metrics,"Appointment date, days waited, practice code, appointment status, mode (face-to-face/telephone/online), HCP type",Practice ODS code
2,GP Patient Survey (GPPS),Patient Experience,NHS England / Ipsos,"Annual survey of ~800k patients covering ease of getting appointments, satisfaction, access, overall experience",Practice-level,Excel / CSV / PowerPoint,Open download from gp-patient.co.uk,Annual (July),https://www.england.nhs.uk/statistics/statistical-work-areas/gp-patient-survey/,CRITICAL — subjective wait experience and access difficulty ratings,"Ease of getting appointment (%), satisfaction (%), experience making appointment, opening hours satisfaction",Practice code
3,Patients Registered at a GP Practice,Demand/Capacity,NHS England Digital,"Monthly snapshot of registered patient list sizes by practice, age/sex breakdown",Practice-level,CSV,Open download — no auth,Monthly,https://digital.nhs.uk/data-and-information/publications/statistical/patients-registered-at-a-gp-practice,HIGH — measures demand (patients per practice); denominator for capacity ratios,"Practice code, total patients, age/sex breakdown, PCN, ICB",Practice ODS code
4,General Practice Workforce,Capacity/Supply,NHS England Digital,"Monthly FTE and headcount for GPs, nurses, DPC, admin staff per practice",Practice-level,CSV,Open download,Monthly,https://digital.nhs.uk/data-and-information/publications/statistical/general-and-personal-medical-services,HIGH — supply side: patients-per-GP ratio is key wait time predictor,"Practice code, GP FTE, nurse FTE, DPC FTE, admin FTE, headcount",Practice ODS code
5,ODS GP Practice Data (formerly epraccur),Location/Reference,NHS England ODS,"GP practice addresses, postcodes, phone numbers, open/close status, parent organisations",Practice-level,CSV,Open download via ODS Data Search & Export,Daily (2am refresh),https://digital.nhs.uk/services/organisation-data-service/data-search-and-export/csv-downloads/gp-and-gp-practice-related-data,HIGH — core location reference for mapping and distance calculations,"Practice code, name, address, postcode, phone, status, ICB code, open date, close date",Practice ODS code
6,Directory of Healthcare Services (Service Search) API v3,Location/Services,NHS England Digital,"Search for GPs, pharmacies, urgent care, dentists, hospitals by location; services offered, opening hours",Service-level,JSON (REST API),API key (register at developer.api.nhs.uk),Real-time,https://digital.nhs.uk/developer/api-catalogue/directory-of-healthcare-services,HIGH — find alternative care options near user; opening hours; services offered,"Service name, type, address, postcode, lat/long, opening hours, services, contact details",ODS code / postcode
7,CQC GP Practice Ratings,Quality,Care Quality Commission,"Inspection ratings (Outstanding/Good/Requires Improvement/Inadequate) across 5 key questions for every GP practice",Practice-level,CSV / JSON API,Open download + API (register at api.service.cqc.org.uk),Monthly,https://www.cqc.org.uk/about-us/transparency/using-cqc-data,MEDIUM — quality signal helps users make informed choice when redirecting,"Practice name, CQC location ID, overall rating, safe, effective, caring, responsive, well-led ratings, inspection date",CQC location ID (linkable to ODS code)
8,OHID Fingertips National GP Profiles,Population Health,OHID (Office for Health Improvement & Disparities),"150+ practice-level indicators: deprivation, life expectancy, QOF, disease prevalence, cancer screening, patient satisfaction",Practice-level,JSON / CSV (API),Open API + download,Varies by indicator,https://fingertips.phe.org.uk/profile/general-practice,MEDIUM — population health context; disease burden predicts appointment demand,"Practice code, indicator ID, value, count, denominator, confidence intervals",Practice ODS code
9,English Indices of Deprivation (IMD) 2025,Socioeconomic,MHCLG,"Deprivation scores and ranks for 32,844 LSOAs in England across 7 domains (income, employment, health, education, crime, housing, environment)",LSOA-level,CSV / Excel,Open download,~Every 5 years (latest 2025),https://www.gov.uk/government/statistics/english-indices-of-deprivation-2025,MEDIUM — deprivation strongly correlates with GP access difficulty and health need,"LSOA code, IMD score, IMD rank, IMD decile, domain scores",LSOA code (via postcode lookup)
10,ONS Postcode Directory (ONSPD),Geographic Linkage,ONS,"Lookup table: every UK postcode to LSOA, MSOA, local authority, ward, constituency, lat/long, rural/urban classification",Postcode-level,CSV,Open download from ONS Geography Portal,Quarterly,https://geoportal.statistics.gov.uk/,HIGH — essential linkage: converts practice postcodes to LSOA for joining with IMD and census data,"Postcode, LSOA, MSOA, LAD, lat, long, rural/urban",Postcode
